;;Elektrische_Last [kW];Warmwasser_Last [kW]; Außentemperatur [ºC];PV_Erzeugung [kW];Wärme_Last 23°C [W];Kühl_Last 23°C [W];Sonneneinstrahlung [W/m²]
31.08.2023;23:00:00;0,376;0;21.280;0;0;112,99;0
01.09.2023;00:00:00;0,256;0;21.203;0;0;99,7;0
01.09.2023;01:00:00;0,256;0;21.241;0;0;54,58;0
01.09.2023;02:00:00;0,256;0;21.343;0;0;32,6;0
01.09.2023;03:00:00;0,256;0;21.395;0;0;26,29;0
01.09.2023;04:00:00;0,256;0;21.395;0;0;39,19;0
01.09.2023;05:00:00;0,261;0;21.386;0;0;48,47;0.663
01.09.2023;06:00:00;0,31;0;21.723;0.015;0;46,84;36.141
01.09.2023;07:00:00;0,441;0;22.444;0.081;0;42,2;113.613
01.09.2023;08:00:00;0,821;1,393333333;23.314;0.162;0;128,83;206.651
01.09.2023;09:00:00;6,116;1,393333333;24.111;0.227;0;113,11;283.503
01.09.2023;10:00:00;0,451;0;24.649;0.286;0;299,56;356.155
01.09.2023;11:00:00;2,416;0;25.006;0.331;0;468,74;414.769
01.09.2023;12:00:00;4,816;0;25.283;0.363;0;558,61;457.009
01.09.2023;13:00:00;0,72;0;25.425;0.361;0;609,28;456.089
01.09.2023;14:00:00;0,291;0;25.537;0.363;0;624,25;463.996
01.09.2023;15:00:00;1,996;0;25.716;0.361;0;594,31;468.934
01.09.2023;16:00:00;0,401;0;25.662;0.296;0;554,05;383.077
01.09.2023;17:00:00;0,471;0;25.255;0.159;0;542,06;204.052
01.09.2023;18:00:00;0,816;0;24.286;0.019;0;511,62;38.815
01.09.2023;19:00:00;3,941;0;23.111;0;0;374,96;0
01.09.2023;20:00:00;3,426;0;22.523;0;0;109,22;0
01.09.2023;21:00:00;0,886;0;21.973;0;37,76;0;0
01.09.2023;22:00:00;0,35;0;21.440;0;0;100,47;0
01.09.2023;23:00:00;0,316;0;20.414;0;0;71,98;0
